Player,Image,Country,URL,DOB,Birthplace,Racket,Height (cm),
Abdalla Hafez,https://cdn.filepicker.io/IZlZhUUQA2PMnb7hmGuW,Egypt,https://www.psasquashtour.com/player/abdalla-hafez/,2024-10-21,"Mohandseen, Egypt",,192,
Abdelrahman Nassar,https://cdn.filepicker.io/hx68Y3ofS8WCF59pttad,Egypt,https://www.psasquashtour.com/player/abdelrahman-nassar/,2002-04-30,"Cairo, Egypt",Dunlop,181,
Abdulla Al Tamimi,https://www.psasquashtour.com/wp-content/uploads/2023/11/abdullah-Al-Tamimi-copy-1024x1024.png,Qatar,https://www.psasquashtour.com/player/abdulla-al-tamimi/,1994-12-15,"Doha, Qatar",Harrow,170,
Abhay Singh,https://www.psasquashtour.com/wp-content/uploads/2024/08/10-1-1024x1024.png,India,https://www.psasquashtour.com/player/abhay-singh/,1998-09-03,"Chennai, India",Head,183,
Addeen Idrakie,https://cdn.filestackcontent.com/4iYvPr85Tla9RZ5op1YY,Malaysia,https://www.psasquashtour.com/player/addeen-idrakie/,1994-01-05,"Kuala Lumpur, Malaysia",,165,
Adegoke Onaopemipo,https://cdn.filepicker.io/jdjwe2ZgRJOLs1XJOJhO,Nigeria,https://www.psasquashtour.com/player/adegoke-onaopemipo/,1999-09-25,"Lagos, Nigeria",Shahtoosh,188,
Adrian Waller,https://www.psasquashtour.com/wp-content/uploads/2023/11/KU8eEEkg.png,England,https://www.psasquashtour.com/player/adrian-waller/,1989-12-26,"London, England",Black Knight,192,
Ahsan Ayaz,https://cdn.filepicker.io/KJ7WZcIeSDWgdP8fEkRw,Pakistan,https://www.psasquashtour.com/player/ahsan-ayaz/,1998-10-05,"Peshawar, Pakistan",,176,
Alejandro Enriquez,https://cdn.filestackcontent.com/bFY75b0QkOWhGDBBbgdA,Guatemala,https://www.psasquashtour.com/player/alejandro-enriquez/,2000-01-17,"Guatemala, Guatemala",Dunlop,169,
Alejandro Reyes,https://cdn.filestackcontent.com/zNDWN5WtQhmuu4BjeeHa,Mexico,https://www.psasquashtour.com/player/alejandro-reyes/,1996-08-07,"Puebla, Mexico",Harrow,179,
Alex Lau,https://www.squashinfo.com/img/players/LauTszKwan_Feb19a8.jpg,Hong Kong,https://www.psasquashtour.com/player/alex-lau/,,"Hong Kong, Hong Kong",Tecnifibre,170,
Alfredo Avila Vergara,https://cdn.filepicker.io/ufNCSm6PSHaWLfLZeCLt,Mexico,https://www.psasquashtour.com/player/alfredo-avila-vergara/,1991-06-17,"Mexico City, Mexico",Oliver,168,
Ali Farag,https://www.psasquashtour.com/wp-content/uploads/2023/11/p9wIq5CA-1024x1024.png,Egypt,https://www.psasquashtour.com/player/ali-farag/,1992-04-22,"Cairo, Egypt",Dunlop,182,
Alvaro Buenaño,https://cdn.filestackcontent.com/soItsHiOT42Ujc1pswJj,Ecuador,https://www.psasquashtour.com/player/alvaro-buenaño/,1999-05-28,"Ambato, Ecuador",Tecnifibre,174,
Aly Abou Eleinen,https://www.psasquashtour.com/wp-content/uploads/2024/04/aly-abou-eleinen-1080-1024x1024.png,Egypt,https://www.psasquashtour.com/player/aly-abou-eleinen/,2000-01-01,"Alexandria, Egypt",Dunlop,176,
Aly Ezzat,https://cdn.filepicker.io/BsEeCP6yTOa6PwDeUW4L,,https://www.psasquashtour.com/player/aly-ezzat/,2007-07-15,,Tecnifibre,180,
Aly Hussein,https://cdn.filestackcontent.com/cstQe7h9Spe5b159doaw,Egypt,https://www.psasquashtour.com/player/aly-hussein/,2000-03-25,"Cairo, Egypt",Dunlop,173,
Ameeshenraj Chandaran,https://cdn.filestackcontent.com/rh88kMZ7TpmFxmkRKoJs,Malaysia,https://www.psasquashtour.com/player/ameeshenraj-chandaran/,2004-01-31,"Seremban, Malaysia",Dunlop,176,
Ammar Altamimi,https://cdn.filepicker.io/DcB8YTzReelzBmf5YcqS,Kuwait,https://www.psasquashtour.com/player/ammar-altamimi/,1988-09-12,"Kuwait City, Kuwait",,175,
Andes Ling,https://cdn.filepicker.io/5ZsCwFZERDqo4T58DD5I,Hong Kong,https://www.psasquashtour.com/player/andes-ling/,1997-09-25,"Hong Kong, Hong Kong",HK Squash Gear,170,
Andres Herrera,https://www.psasquashtour.com/wp-content/uploads/2022/11/Screenshot-2022-11-05-at-17.27.56.png,Colombia,https://www.psasquashtour.com/player/andres-herrera/,1996-05-06,"Bogota, Colombia",Black Knight,174,
Anthony Lepper,https://cdn.filepicker.io/AJjXXcXqSAqlDUqTFGBD,New Zealand,https://www.psasquashtour.com/player/anthony-lepper/,2000-07-08,"Auckland, New Zealand",Head,179,
Aqeel Rehman,https://cdn.filestackcontent.com/e45ust0ToKjLA4Br7iMK,Austria,https://www.psasquashtour.com/player/aqeel-rehman/,1985-12-12,"Salzburg, Austria",Oliver,172,
Auguste Dussourd,https://www.psasquashtour.com/wp-content/uploads/2023/12/auguste-dussourd-copy-1024x1024.png,France,https://www.psasquashtour.com/player/auguste-dussourd/,1996-02-10,"Nogent sur Marne, France",Tecnifibre,185,
Bailey Malik,https://cdn.filestackcontent.com/A0Ql3gvnSZOMBx9P7fBp,England,https://www.psasquashtour.com/player/bailey-malik/,2006-01-20,"Redhill, England",Tecnifibre,189,
Balazs Farkas,https://www.psasquashtour.com/wp-content/uploads/2024/08/4-1-1024x1024.png,Hungary,https://www.psasquashtour.com/player/balazs-farkas/,1997-04-02,"Tatabanya, Hungary",Dunlop,190,
Baptiste Bouin,https://cdn.filepicker.io/kuDvnkGpTiGP9Nh7M4lX,France,https://www.psasquashtour.com/player/baptiste-bouin/,2002-12-12,"Nantes, France",Dunlop,180,
Baptiste Masotti,https://www.psasquashtour.com/wp-content/uploads/2023/11/XauFa0Vy-1024x1024.png,France,https://www.psasquashtour.com/player/baptiste-masotti/,1995-06-05,"Niort, France",Oliver,183,
Ben Smith,https://cdn.filepicker.io/o0MyF7oVShWquizKwXjd,England,https://www.psasquashtour.com/player/ben-smith/,2002-05-15,"Grimsby, England",Dunlop,194,
Benjamin Ratcliffe,https://cdn.filepicker.io/tiyoWqYIS3q3GsglGndf,Australia,https://www.psasquashtour.com/player/benjamin-ratcliffe/,1999-10-10,"Shepparton, Australia",Stellar,171,
Bernat Jaume,https://www.psasquashtour.com/wp-content/uploads/2024/02/bernat-jaume-copy-1024x1024.png,Sprain,https://www.psasquashtour.com/player/bernat-jaume/,1995-11-19,"Igualada, Spain",Tecnifibre,186,
Borja Golan,https://d3sitlfrz6piv5.cloudfront.net/eyJidWNrZXQiOiJwc2Etb21ha2lzb2Z0Iiwia2V5IjoiaW1hZ2VzL3BsYXllcnMvNjMzLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MTAwMCwiaGVpZ2h0IjoxMDAwLCJmaXQiOiJjb250YWluIn0sInNtYXJ0Q3JvcCI6eyJwYWRkaW5nIjo1MH19fQ==,Spain,https://www.psasquashtour.com/player/borja-golan/,1983-01-06,Santiago de Compostel,Eye,182,
Brice Nicolas,https://cdn.filestackcontent.com/LedIB76QEu44LF68bkfP,France,https://www.psasquashtour.com/player/brice-nicolas/,2003-11-23,"Noumea, New Caledonia",Tecnifibre,175,
Bryan Lim,https://cdn.filepicker.io/tzEMZatRTpysGxB7SQvr,Malaysia,https://www.psasquashtour.com/player/bryan-lim/,1996-02-01,"Seremban, Malaysia",Tecnifibre,178,
Cameron Pilley,https://commonwealthgames.com.au/wp-content/uploads/Pilley-Cameron-5.jpg,Australia,https://www.psasquashtour.com/player/cameron-pilley/,1982-10-27,"Yamba, Australia",Karakal,193,
Cesar Salazar,https://www.psasquashtour.com/wp-content/uploads/2024/02/cesar-salazar-copy-1024x1024.png,Mexico,https://www.psasquashtour.com/player/cesar-salazar/,1988-01-03,"San Luis Potosi, Mexico",Head,177,
Cesar Segundo Corona,https://cdn.filepicker.io/8lLcBJLHRPSsx6f1Jska,Mexico,https://www.psasquashtour.com/player/cesar-segundo-corona/,1999-12-15,"Puebla, Mexico",,175,
Charlie Lee,https://www.psasquashtour.com/wp-content/uploads/2024/02/charlie-lee-copy-1024x1024.png,England,https://www.psasquashtour.com/player/charlie-lee/,1998-05-13,"Kingston-upon-Thames, England",Victor,182,
Chi Him Wong,https://cdn.filestackcontent.com/qvePB6ZLQqCcp4dmmD8q,Hong Kong,https://www.psasquashtour.com/player/chi-him-wong/,1994-04-08,"Hong Kong, Hong Kong",Head,178,
Christopher Gordon,https://cdn.filestackcontent.com/Ge9nGCznQPOpZyvngCQ8,United States,https://www.psasquashtour.com/player/christopher-gordon/,1986-07-17,"New York, United States",Tecnifibre,190,
Connor Turk,https://cdn.filepicker.io/3bohpjZrQWWI9BPUMunB,Canada,https://www.psasquashtour.com/player/connor-turk/,1994-01-12,"Winnipeg, Canada",Unsquashable,182,
Curtis Malik,https://www.psasquashtour.com/wp-content/uploads/2024/08/3-1-1024x1024.png,England,https://www.psasquashtour.com/player/curtis-malik/,1999-07-26,"Redhill, England",Mantis,191,
Damian Groenewald,https://cdn.filestackcontent.com/fKbkoQ1YQMGU9GwU8GEO,South Africa,https://www.psasquashtour.com/player/damian-groenewald/,2003-10-16,"Kempton Park, South Africa",Tecnifibre,170,
Daniel Poleshchuk,https://cdn.filestackcontent.com/nsVB0M6LTKUyNwbwVO8O,Israel,https://www.psasquashtour.com/player/daniel-poleshchuk/,1996-02-11,"Ramat Gan, Israel",Tecnifibre,169,
Darren Pragasam,https://cdn.filepicker.io/Emwhh0K3RIqHxXXpwRYV,Malaysia,https://www.psasquashtour.com/player/darren-pragasam/,1999-08-27,"Negeri Sembilan, Malaysia",,170,
Daryl Selby,https://d3sitlfrz6piv5.cloudfront.net/eyJidWNrZXQiOiJwc2Etb21ha2lzb2Z0Iiwia2V5IjoiaW1hZ2VzL3BsYXllcnMvMzk5LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6MTAwMCwiaGVpZ2h0IjoxMDAwLCJmaXQiOiJjb250YWluIn0sInNtYXJ0Q3JvcCI6eyJwYWRkaW5nIjo1MH19fQ==,England,https://www.psasquashtour.com/player/daryl-selby/,1982-11-03,"Harlow, England",Black Knight,180,
David Baillargeon,https://www.psasquashtour.com/wp-content/uploads/2023/11/david-baillargeon-copy-1024x1024.png,Canada,https://www.psasquashtour.com/player/david-baillargeon/,1996-03-14,"Levis, Canada",Harrow,179,
David Bernet,https://cdn.filestackcontent.com/i31mSYUR2em4McWUA5UB,Switzerland,https://www.psasquashtour.com/player/david-bernet/,2005-04-24,"Uster, Switzerland",Tecnifibre,174,
David Costales,https://cdn.filepicker.io/ljSjoRuQvmTKSByBnUcw,Ecuador,https://www.psasquashtour.com/player/david-costales/,2002-12-31,"Quito, Ecuador",,173,
David Maier,https://cdn.filepicker.io/CJdgYNw7ROe5kPINqZWv,Liechtenstein,https://www.psasquashtour.com/player/david-maier/,2001-05-07,"Vaduz, Liechtenstein",Karakal,178,
Declan James,https://www.psasquashtour.com/wp-content/uploads/2023/12/declsn-james-copy-1024x1024.png,England,https://www.psasquashtour.com/player/declan-james/,1993-04-19,"Nottingham, England",Harrow,193,
Dewald van Niekerk,https://cdn.filestackcontent.com/7bheuse2S36mmzimUqfb,South Africa,https://www.psasquashtour.com/player/dewald-van-niekerk/,1997-06-03,"Port Elizabeth, South Africa",Tecnifibre,183,
Diego Elias,https://www.psasquashtour.com/wp-content/uploads/2023/12/diego-elias-copy-1-1024x1024.png,Peru,https://www.psasquashtour.com/player/diego-elias/,1996-11-19,"Lima, Peru",Dunlop,188,
Diego Gobbi,https://cdn.filestackcontent.com/bJjuKbUzTBCkgXAJQpVP,Brazil,https://www.psasquashtour.com/player/diego-gobbi/,1995-06-08,"Sao Paulo, Brazil",Unsquashable,,
Dillon Huang,https://cdn.filestackcontent.com/y0TvviJRcKSAojzfw6Ag,United States,https://www.psasquashtour.com/player/dillon-huang/,2001-09-30,"Fremont, United States",,183,
Dimitri Steinmann,https://www.psasquashtour.com/wp-content/uploads/2023/11/dimitri-steinmann-copy-1024x1024.png,Switzerland,https://www.psasquashtour.com/player/dimitri-steinmann/,1997-07-14,"Zurich, Switzerland",Harrow,180,
Duncan Lee,https://cdn.filepicker.io/VkBWaSBcSeMexf8u3OBP,Malaysia,https://www.psasquashtour.com/player/duncan-lee/,2002-07-19,"Kota Kinabalu, Malaysia",Dunlop,176,
Dylan Molinaro,https://cdn.filestackcontent.com/JL4azABRm1svGlyck1mQ,Australia,https://www.psasquashtour.com/player/dylan-molinaro/,2002-03-08,"Melbourne, Australia",,183,
Eain Yow Ng,https://www.psasquashtour.com/wp-content/uploads/2023/11/wENLvukf-1024x1024.png,Malaysia,https://www.psasquashtour.com/player/eain-yow-ng/,1998-01-26,"Kuala Lumpur, Malaysia",Dunlop,170,
Edgar Ramirez,https://cdn.filepicker.io/vcXJFILDQoyOiBsoBByX,Colombia,https://www.psasquashtour.com/player/edgar-ramirez/,1995-03-01,"Bogota, Colombia",,178,
Edmon Lopez,https://cdn.filepicker.io/PDpIATYQ6GCj5y3rhFiL,Spain,https://www.psasquashtour.com/player/edmon-lopez/,1996-07-16,"Barcelona, Spain",Tecnifibre,177,
Edwin Clain,https://cdn.filestackcontent.com/W6mJqS0cSFyqnmm7sr2h,France,https://www.psasquashtour.com/player/edwin-clain/,1999-11-09,"Creteil, France",Tecnifibre,184,
Elijah Thomas,https://cdn.filepicker.io/JDgmZF4URyuetN4mK6ZC,New Zealand,https://www.psasquashtour.com/player/elijah-thomas/,2002-11-22,"Auckland, New Zealand",Tecnifibre,185,
Emyr Evans,https://www.psasquashtour.com/wp-content/uploads/2024/08/13-1-1024x1024.png,Wales,https://www.psasquashtour.com/player/emyr-evans/,1996-11-25,"Cardiff, Wales",Karakal,180,
Faraz Khan,https://www.squashinfo.com/img/players/FarazKhan_Sep23a.jpg,United States,https://www.psasquashtour.com/player/faraz-khan/,1993-09-12,"Stamford, United States",Tecnifibre,178,
Fares Dessouky,https://www.psasquashtour.com/wp-content/uploads/2024/04/fares-dessouky-1080-1024x1024.png,Egypt,https://www.psasquashtour.com/player/fares-dessouky/,1994-09-29,"Alexandria, Egypt",Tecnifibre,178,
Finnlay Withington,https://www.psasquashtour.com/wp-content/uploads/2024/08/15-1-1024x1024.png,England,https://www.psasquashtour.com/player/finnlay-withington/,2004-04-03,"Manchester, England",Dunlop,173,
Francesco Marcantonio,https://cdn.filepicker.io/LwEWNBN2TDe9NwTcHiQ6,Paraguay,https://www.psasquashtour.com/player/francesco-marcantonio/,1998-02-13,"Asuncion, Paraguay",Dunlop,183,
Gabriel Olufunmilayo,https://www.squashinfo.com/img/players/GabrielOlufunmilayo_Oct24a.jpg,Nigeria,https://www.psasquashtour.com/player/gabriel-olufunmilayo/,,"Lagos, Nigeria",,185,
George Parker,https://www.psasquashtour.com/wp-content/uploads/2024/04/george-parker.png,England,https://www.psasquashtour.com/player/george-parker/,1996-04-25,"Leicester, England",Unsquashable,188,
Greg Lobban,https://www.psasquashtour.com/wp-content/uploads/2023/11/4ZVywQTA-1024x1024.png,Scotland,https://www.psasquashtour.com/player/greg-lobban/,1992-08-12,"Inverness, Scotland",Karakal,184,
Gregoire Marche,https://www.psasquashtour.com/wp-content/uploads/2023/11/BVRYXWTA-1024x1024.png,France,https://www.psasquashtour.com/player/gregoire-marche/,1990-03-03,"Valence, France",Tecnifibre,170,
Gregory Gaultier,https://dd34e8y1ttmkb.cloudfront.net/images/players/headshots/gregory-gaultier.png,France,https://www.psasquashtour.com/player/gregory-gaultier/,1982-12-23,"Epinal, France",Dunlop,176,
Guilherme Melo,https://cdn.filepicker.io/JF0FW0GZRcyua8kcOnUo,Brazil,https://www.psasquashtour.com/player/guilherme-melo/,1991-09-10,"Sao Paulo, Brazil",Dunlop,193,
Hamza Khan,https://cdn.filepicker.io/eCkzCPoRgaD2gN68wvbw,Pakistan,https://www.psasquashtour.com/player/hamza-khan/,2005-11-02,"Peshawar, Pakistan",Tecnifibre,170,
Harley Lam,https://cdn.filestackcontent.com/h4VlkFuWSneqOjgX7goP,Hong Kong,https://www.psasquashtour.com/player/harley-lam/,1999-05-31,"Hong Kong, Hong Kong",Dunlop,168,
Hazem Hossam,https://cdn.filepicker.io/lXWmzBTrSu6Yo6Hf1m6h,Egypt,https://www.psasquashtour.com/player/hazem-hossam/,2003-02-03,"Cairo, Egypt",,185,
Henrik Mustonen,https://cdn.filestackcontent.com/nlnt77GQVSTYUrNkCy0g,Finland,https://www.psasquashtour.com/player/henrik-mustonen/,1990-11-06,"Hollola, Finland",Karakal ,184,
Henry Leung,https://www.psasquashtour.com/wp-content/uploads/2023/12/henry-leung-copy-1-1024x1024.png,Hong Kong,https://www.psasquashtour.com/player/henry-leung/,1995-03-10,"Hong Kong, Hong Kong",,180,
Ibrahim Elkabbani,https://cdn.filestackcontent.com/LbixJVDsQAqFDXPhVEYA,Egypt,https://www.psasquashtour.com/player/ibrahim-elkabbani/,2002-08-26,"Cairo, Egypt",Head,189,
Iker Pajares,https://www.psasquashtour.com/wp-content/uploads/2024/04/iker-pajares-1080-1024x1024.png,Spain,https://www.psasquashtour.com/player/iker-pajares/,1996-03-22,"Barcelona, Spain",Unsquashable,183,name is different from time series data
Ivan Perez,https://cdn.filestackcontent.com/ixp7WLZWRiWnQxkzj7Ba,Spain,https://www.psasquashtour.com/player/ivan-perez/,2000-12-17,"Tenerife, Spain",Unsquashable,175,
Jakub Solnicky,https://cdn.filestackcontent.com/DdUTqeqQiWMhDGuLtmnw,Czech Republic,https://www.psasquashtour.com/player/jakub-solnicky/,1994-12-16,"Opava, Czech Republic",Head,175,
James Peach,https://cdn.filepicker.io/EEPW769VTaqojtlOSf4m,England,https://www.psasquashtour.com/player/james-peach/,1997-06-14,"Doncaster, England",Karakal,172,
James Willstrop,https://www.psasquashtour.com/wp-content/uploads/2023/11/james-willstrop-copy-1024x1024.png,England,https://www.psasquashtour.com/player/james-willstrop/,1983-08-15,"North Walsham, England",Unsquashable,190,
Jan Wipperfürth,https://cdn.filepicker.io/CBbOpOvuRmyI9fFTc1jt,Germany,https://www.psasquashtour.com/player/jan-wipperfürth/,2002-11-14,"Moenchengladbach, Germany",Victor,195,
Javier Romo,https://cdn.filepicker.io/pYR19t9QEifyQvh9Agns,Ecuador,https://www.psasquashtour.com/player/javier-romo/,2005-09-18,"Quito, Ecuador",Dunlop,177,
Jeremias Azaña,https://www.squashinfo.com/img/players/JeremiasAza%C3%B1a_Nov24a.jpg,Argentina,https://www.psasquashtour.com/player/jeremias-azaña/,,"Cordoba, Spain",,178,
Jerome Aw,https://cdn.filepicker.io/HNIrQtwpTluETaj4mPtC,Singapore,https://www.psasquashtour.com/player/jerome-aw/,2002-11-26,"Singapore, Singapore",Eye,164,
Joachim Chuah,https://cdn.filepicker.io/XYKZ2LQtiLOt3g8m9ULg,Malaysia,https://www.psasquashtour.com/player/joachim-chuah/,2004-09-09,"Shah Alam, Malaysia",Head,167,
Joel Arscott,https://cdn.filestackcontent.com/2AIQgnkTHmB7Vq4WdceA,New Zealand,https://www.psasquashtour.com/player/joel-arscott/,1999-10-01,"Christchurch, New Zealand",Stellar Squash,,
Joel Makin,https://www.psasquashtour.com/wp-content/uploads/2024/02/joel-makin-copy-1024x1024.png,Wales,https://www.psasquashtour.com/player/joel-makin/,1994-10-27,"Pembrokeshire, Wales",Karakal,180,
Joeri Hapers,https://www.squashinfo.com/img/players/JoeriHapers_Jun22a.jpg,Belgium,https://www.psasquashtour.com/player/joeri-hapers/,1990-10-23,"Geel, Belgium",Dunlop,183,
Jonah Bryant,https://www.psasquashtour.com/wp-content/uploads/2024/08/11-1-1024x1024.png,England,https://www.psasquashtour.com/player/jonah-bryant/,2005-07-15,"Brighton, England",Dunlop,183,
Jorge Luis Gomez Dominguez,https://cdn.filepicker.io/dKHQUDFQVSZ770OJL5oR,Mexico,https://www.psasquashtour.com/player/jorge-luis-gomez-dominguez/,1998-09-14,"Xalapa, Mexico",Tecnifibre,173,
Joseph White,https://www.psasquashtour.com/wp-content/uploads/2024/08/16-1-1024x1024.png,Australia,https://www.psasquashtour.com/player/joseph-white/,1997-09-28,"Townsville, Australia",Dunlop,190,
Josue Enriquez,https://cdn.filestackcontent.com/h1qqBGkUSp6DhZW1ORNd,Guatemala,https://www.psasquashtour.com/player/josue-enriquez/,1994-11-09,"Guatemala, Guatemala",Dunlop,165,
Juan Vargas,https://cdn.filepicker.io/G3I8ULaTxCqMcR1TIyuJ,Colombia,https://www.psasquashtour.com/player/juan-vargas/,1994-04-18,"Bogota, Colombia",Head,174,
Kareem El Torkey,https://cdn.filepicker.io/DW9VE8WhR2aNDToH6VVd,Egypt,https://www.psasquashtour.com/player/kareem-el-torkey/,2004-09-21,"Cairo, Egypt",Tecnifibre,173,
Karim El Hammamy,https://www.psasquashtour.com/wp-content/uploads/2024/02/Karim-El-Hammamy-copy-1024x1024.png,Egypt,https://www.psasquashtour.com/player/karim-el-hammamy/,1995-11-04,"Cairo, Egypt",,171,
Karim Gawad,https://www.psasquashtour.com/wp-content/uploads/2024/02/karim-gawad-copy-1024x1024.png,Egypt,https://www.psasquashtour.com/player/karim-gawad/,1991-07-30,"Alexandria, Egypt",Harrow,173,
Khaled Labib,https://cdn.filepicker.io/evhyrbJ9SDuQUcVkDHHP,Egypt,https://www.psasquashtour.com/player/khaled-labib/,1997-01-03,"Cairo, Egypt",Dunlop,176,
Leandro Romiglio,https://cdn.filepicker.io/ffTi72iwQAqiZMxxQb9V,Argentina,https://www.psasquashtour.com/player/leandro-romiglio/,1991-02-11,"Mar del Plata, Argentina",Tecnifibre,176,
Leo Au,https://www.squashinfo.com/img/players/LeoAu_July11.jpg,Hong Kong,https://www.psasquashtour.com/player/leo-au/,1990-02-01,"Hong Kong, Hong Kong",Harrow,165,
Leo Chung,https://cdn.filestackcontent.com/JcrviCoSJmY2sIghRGPa,Hong Kong,https://www.psasquashtour.com/player/leo-chung/,2000-02-01,"Hong Kong, Hong Kong",,175,
Leonel Cardenas,https://www.psasquashtour.com/wp-content/uploads/2024/01/loenel-cardennas-copy-1024x1024.png,Mexico,https://www.psasquashtour.com/player/leonel-cardenas/,2000-02-08,"Naucalpan, Estado de Mexico, Mexico",Head,175,
Liam Marrison,https://cdn.filepicker.io/FpjEsWzMQIae0Rr8pggH,Canada,https://www.psasquashtour.com/player/liam-marrison/,2000-11-10,"Markham, Canada",Head,175,
Louai Hafez,https://cdn.filepicker.io/ngN6eAIJToL4F3vMbOaX,Switzerland,https://www.psasquashtour.com/player/louai-hafez/,2003-05-18,"Cairo, Egypt",Tecnifibre,174,
