Player,Image,Country,URL,DOB,Birthplace,Racket,Height (cm)
Aifa Azman,https://www.psasquashtour.com/wp-content/uploads/2023/11/UjyIoY4w.png,Malaysia,https://www.psasquashtour.com/player/aifa-azman/,2001-12-18,"Kedsh, Malaysia",Dunlop,162
Ainaa Amani,https://cdn.filestackcontent.com/xfKY2NLBTrw5vfX92bdA,Malaysia,https://www.psasquashtour.com/player/ainaa-amani/,2002-03-18,"Kuala Lumpur, Malaysia",Dunlop,165
Aira Azman,https://www.psasquashtour.com/wp-content/uploads/2023/12/aira-azman-copy-1024x1024.png,Malaysia,https://www.psasquashtour.com/player/aira-azman/,2004-09-29,"Kedah, Malaysia",Dunlop,167
Akanksha Salunkhe,https://cdn.filestackcontent.com/CcMY8yu2THaGpJx5XPGk,India,https://www.psasquashtour.com/player/akanksha-salunkhe/,1999-01-24,"Sataria, India",Harrow,152
Akari Midorikawa,https://cdn.filepicker.io/sJrU3kzAQ1CHN3v3w6Sv,Japan,https://www.psasquashtour.com/player/akari-midorikawa/,2005-08-15,"Chiba, Japan",Tecnifibre,151
Alex Haydon,https://www.psasquashtour.com/wp-content/uploads/2024/08/24-1-1024x1024.png,Australia,https://www.psasquashtour.com/player/alex-haydon/,2001-07-25,"Clare Valley, Australia",Dunlop,170
Alexandra Fuller,https://www.psasquashtour.com/wp-content/uploads/2023/11/8ME-K4no-1024x1024.png,South Africa,https://www.psasquashtour.com/player/alexandra-fuller/,1993-08-24,"Cape Town, South Africa",Head,168
Ali Loke,https://cdn.filestackcontent.com/1izGQNkySmWsLZy4IAJR,Wales,https://www.psasquashtour.com/player/ali-loke/,1993-05-26,"London, England",Karakal,170
Alicia Mead,https://www.psasquashtour.com/wp-content/uploads/2024/08/35-1024x1024.png,England,https://www.psasquashtour.com/player/alicia-mead/,1995-10-23,"Nuneaton, England",Ashaway,162
Alina Bushma,https://cdn.filestackcontent.com/PhvheGSdRLPQyHPzGB4A,Ukraine,https://www.psasquashtour.com/player/alina-bushma/,2000-12-06,"Kiev, Ukraine",Harrow,166
Alison Thomson,https://cdn.filestackcontent.com/FHXRA1UyRQO6vYLzTVeQ,Scotland,https://www.psasquashtour.com/player/alison-thomson/,1996-05-03,"Twickenham, England",Karakal,168
Alison Waters,https://www.squashinfo.com/img/players/AlisonWaters_May22a.jpg,England,https://www.psasquashtour.com/player/alison-waters/,1984-03-19,"London, England",Ashaway,170
Amanda Sobhy,https://www.psasquashtour.com/wp-content/uploads/2024/02/amanda-sobhy-copy-1024x1024.png,United States,https://www.psasquashtour.com/player/amanda-sobhy/,1993-06-29,"Sea Cliff, United States",Head,173
Ambre Allinckx,https://cdn.filestackcontent.com/dJ5jfUvOR8CAp2Nn0ehw,Switzerland,https://www.psasquashtour.com/player/ambre-allinckx/,2002-03-26,"Lucerne, Switzerland",Dunlop,173
Amina El Rihany,https://cdn.filestackcontent.com/ruAcFvsQRmQ0OABHRRRQ,Egypt,https://www.psasquashtour.com/player/amina-el-rihany/,2002-11-14,"Cairo, Egypt",,162
Amina Orfi,https://www.psasquashtour.com/wp-content/uploads/2023/11/3H5gc31k-1024x1024.png,Egypt,https://www.psasquashtour.com/player/amina-orfi/,2007-06-29,"Cairo, Egypt",Dunlop,167
Amina Orfi,https://www.psasquashtour.com/wp-content/uploads/2023/11/3H5gc31k-1024x1024.png,Egypt,https://www.psasquashtour.com/player/amina-orfi/,2007-06-29,"Cairo, Egypt",Dunlop,167
Ana Munos,https://cdn.filestackcontent.com/n0O5maoUTN6JWmWEKJPA,France,https://www.psasquashtour.com/player/ana-munos/,2004-07-12,"Kourou, French Guiana",Tecnifibre,170
Anahat Singh,https://cdn.filepicker.io/w0OOBZnBTa2WDhI2ZnWh,India,https://www.psasquashtour.com/player/anahat-singh/,2008-03-13,"New Delhi, India",Dunlop,165
Anjali Semwal,https://cdn.filepicker.io/jel5STICNkqzNBhBUBAc,India,https://www.psasquashtour.com/player/anjali-semwal/,2002-07-17,"Sarmal, India",Head,150
Anna Serme,https://cdn.filepicker.io/s5UdAS9qSIuAhKlZ1kXi,Czech Republic,https://www.psasquashtour.com/player/anna-serme/,1991-05-15,"Krnov, Czech Republic",Unsquashable,167
Annie Au,https://www.squashinfo.com/img/players/AnnieAu_Sep18a.jpg,Hong Kong,https://www.psasquashtour.com/player/annie-au/,1989-02-09,Hong Kong,Harrow,155
Anrie Goh,,Malaysia,https://www.psasquashtour.com/player/anrie-goh/,,"Alor Setar, Malaysia",,
Asia Harris,https://www.psasquashtour.com/wp-content/uploads/2024/08/23-1-1024x1024.png,England,https://www.psasquashtour.com/player/asia-harris/,2004-12-22,"Pontefract, England",Dunlop,180
Audrey Berling,https://cdn.filestackcontent.com/h38PfDETrCR4EkBuR7AJ,United States,https://www.psasquashtour.com/player/audrey-berling/,2000-12-22,"Toledo, United States",Harrow,177
Barb Sameh,https://cdn.filepicker.io/FLT7BaNSEewOzXBbqdzA,Egypt,https://www.psasquashtour.com/player/barb-sameh/,2007-08-12,"Cairo, Egypt",Tecnifibre,169
Bobo Lam,https://cdn.filestackcontent.com/4WRt0W4mT7qDXLxE1ZVa,Hong Kong,https://www.psasquashtour.com/player/bobo-lam/,2004-12-06,"Hong Kong, Hong Kong",Hong Kong Squash Gear,164
Breanne Flynn,https://cdn.filestackcontent.com/y0bqF4eRlOCGmZMgXPLQ,Ireland,https://www.psasquashtour.com/player/breanne-flynn/,1995-05-27,"Manhasset, United States",Dunlop,182
Bruna Marchesi Petrillo,https://cdn.filestackcontent.com/is75UMSQFGU3drK0YQVN,Brazil,https://www.psasquashtour.com/player/bruna-marchesi-petrillo/,1993-02-08,"Ribeirao Preto, Brazil",Oliver,163
Busayo Olatunji,https://cdn.filepicker.io/CduCwINITyaICvRAlr7G,Nigeria,https://www.psasquashtour.com/player/busayo-olatunji/,1999-06-12,"Lagos, Nigeria",,152
Camille Serme,https://cdn.filepicker.io/lHLpcESoWyrnAvwtR8Lg,France,https://www.psasquashtour.com/player/camille-serme/,1989-04-04,"Creteil, France",Tecnifibre,164
Caridad Buenaño,https://cdn.filepicker.io/Cgep76ERS16xbvldqwCQ,Ecuador,https://www.psasquashtour.com/player/caridad-buenaño/,2002-10-25,"Ambato, Ecuador",Tecnifibre,154
Caroline Fouts,https://cdn.filestackcontent.com/gxYNWfxpS3uIMbjrdLoW,United States,https://www.psasquashtour.com/player/caroline-fouts/,2005-12-08,"Rye, United States",Tecnifibre,170
Caroline Lyng,https://cdn.filepicker.io/CayYzVqSLC5UbFITYEpL,Denmark,https://www.psasquashtour.com/player/caroline-lyng/,1998-12-21,"Hillerod, Denmark",Head,174
Cassandra Ong,https://cdn.filepicker.io/H4PQvMGUR86IdcJNyG27,,https://www.psasquashtour.com/player/cassandra-ong/,2001-03-03,,,162
Catalina Pelaez,https://cdn.filestackcontent.com/DNzRHHapRz5JmcnQ7SAb,Colombia,https://www.psasquashtour.com/player/catalina-pelaez/,1991-09-04,"Bogota, Colombia",Black Knight,
Catarina Nunes,https://cdn.filepicker.io/gS79wZzS9GfU0XOBdgPC,Portugal,https://www.psasquashtour.com/player/catarina-nunes/,1998-05-16,"Porto, Portugal",Tecnifibre,173
Chanithma Sinaly,https://cdn.filepicker.io/XJEYNUhQTby244jaxSwm,,https://www.psasquashtour.com/player/chanithma-sinaly/,2005-08-02,"Colombo, Sri Lanka",,161
Ching Hei Fung,https://cdn.filepicker.io/bJIsDyV6QwKFtc4JHH6J,Hong Kong,https://www.psasquashtour.com/player/ching-hei-fung/,2003-03-12,"Hong Kong, Hong Kong",,173
Cindy Merlo,https://www.psasquashtour.com/wp-content/uploads/2024/08/29-1024x1024.png,Switzerland,https://www.psasquashtour.com/player/cindy-merlo/,1998-03-13,"Wald, Switzerland",Head,170
Colette Sultana,https://cdn.filepicker.io/IS4MAO4ZTr0srt9n7qMD,Malta,https://www.psasquashtour.com/player/colette-sultana/,1995-06-25,"Cambridge, England",,169
Coline Aumard,https://d3sitlfrz6piv5.cloudfront.net/eyJidWNrZXQiOiJwc2Etb21ha2lzb2Z0Iiwia2V5IjoiaW1hZ2VzL3BsYXllcnMvNzg5Ni5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjEwMDAsImhlaWdodCI6MTAwMCwiZml0IjoiY29udGFpbiJ9LCJzbWFydENyb3AiOnsicGFkZGluZyI6NTB9fX0=,France,https://www.psasquashtour.com/player/coline-aumard/,1989-06-13,Villeneuve St George,Eye,165
Cristina Gomez,https://www.psasquashtour.com/wp-content/uploads/2024/10/Picsart_24-10-07_12-19-45-309-717x1024.jpg,Spain,https://www.psasquashtour.com/player/cristina-gomez/,1998-07-06,"Murcia, Spain",Tecnifibre,160
Cristina Tartarone,https://cdn.filestackcontent.com/fy5adnqpTKyijKn5gPvw,Italy,https://www.psasquashtour.com/player/cristina-tartarone/,2001-04-04,"Cosenza, Italy",Unsquashable,173
Danielle Letourneau,https://cdn.filepicker.io/z2plxwUhSKWNbGPFv9Rz,Canada,https://www.psasquashtour.com/player/danielle-letourneau/,1993-05-03,"Calgary, Canada",Tecnifibre,172
Delia Arnold,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Delia_Arnold_%28cropped%29.jpg/250px-Delia_Arnold_%28cropped%29.jpg,Malaysia,https://www.psasquashtour.com/player/delia-arnold/,1986-01-26,Kuala Lumpur,Prince,163
Diana Garcia,https://cdn.filepicker.io/K2tRAbiST8G5lPBPHlwq,Mexico,https://www.psasquashtour.com/player/diana-garcia/,1992-12-21,"Mexico City, Mexico",Head,167
Dipika Pallikal Karthik,https://www.squashinfo.com/img/players/Pallikal_Apr18a.jpg,India,https://www.psasquashtour.com/player/dipika-pallikal-karthik/,1991-09-21,"Chennai, India",Tecnifibre,171
Donna Lobban,https://d3sitlfrz6piv5.cloudfront.net/eyJidWNrZXQiOiJwc2Etb21ha2lzb2Z0Iiwia2V5IjoiaW1hZ2VzL3BsYXllcnMvNzg3NC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjEwMDAsImhlaWdodCI6MTAwMCwiZml0IjoiY29udGFpbiJ9LCJzbWFydENyb3AiOnsicGFkZGluZyI6NTB9fX0=,Australia,https://www.psasquashtour.com/player/donna-lobban/,1986-12-19,"Yamba, NSW",Harrow,176
Elise Romba,https://cdn.filestackcontent.com/BljDIObFSwaFFAmFMVf9,France,https://www.psasquashtour.com/player/elise-romba/,1997-07-11,"Lyon, France",Dunlop,158
Ella Lash,https://cdn.filepicker.io/CYG8jE60QU2ojo3uTyiJ,New Zealand,https://www.psasquashtour.com/player/ella-lash/,2005-09-29,"Wellington, New Zealand",Head,164
Ellie Jones,https://cdn.filepicker.io/7Jeind14SUeYZtc6ziiR,Scotland,https://www.psasquashtour.com/player/ellie-jones/,1998-07-03,"Cheltenham, England",Ashaway,164
Emilia Soini,https://www.psasquashtour.com/wp-content/uploads/2024/03/Emili-Soini-copy-1024x1024.png,Finland,https://www.psasquashtour.com/player/emilia-soini/,1995-10-16,"Espoo, Finland",Dunlop,166
Emily Whitlock,https://www.psasquashtour.com/wp-content/uploads/2023/11/fgLAp2Dw-1024x1024.png,Wales,https://www.psasquashtour.com/player/emily-whitlock/,1994-02-15,"Macclesfield, England",Ashaway,161
Enora Villard,https://www.psasquashtour.com/wp-content/uploads/2024/08/31-1024x1024.png,France,https://www.psasquashtour.com/player/enora-villard/,1993-10-27,"Aix-en-Provence, France",Tecnifibre,169
Erin Classen,https://cdn.filestackcontent.com/KFmSG3bqRCuxt2bNW0Kk,Australia,https://www.psasquashtour.com/player/erin-classen/,2004-08-18,"Cape Town, South Africa",Tecnifibre,165
Erisa Sano Herring,https://cdn.filepicker.io/UrgMgAEoQcmMFvhfvzdT,Japan,https://www.psasquashtour.com/player/erisa-sano-herring/,2000-09-04,"Montreal, Canada",Head,166
Farida Mohamed,https://www.psasquashtour.com/wp-content/uploads/2023/11/w_Lt87Sb-1024x1024.png,Egypt,https://www.psasquashtour.com/player/farida-mohamed/,2002-01-15,"Alexandria, Egypt",Tecnifibre,174
Farida Walid,https://cdn.filepicker.io/H64B6MwTSmujXVYEio19,,https://www.psasquashtour.com/player/farida-walid/,2008-06-18,,,163
Fayrouz Aboelkheir,https://www.psasquashtour.com/wp-content/uploads/2024/08/43-1024x1024.png,Egypt,https://www.psasquashtour.com/player/fayrouz-aboelkheir/,2006-03-04,"Alexandria, Egypt",Tecnifibre,166
Fiorella Gatti,https://www.squashinfo.com/img/players/FiorellaGatti_May24a.jpg,Paraguay,https://www.psasquashtour.com/player/fiorella-gatti/,,"Asuncion, Paraguay",Dunlop,170
Franka Vidovic,https://d3sitlfrz6piv5.cloudfront.net/eyJidWNrZXQiOiJwc2Etb21ha2lzb2Z0Iiwia2V5IjoiaW1hZ2VzL3BsYXllcnMvMTQ1MTguanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoxMDAwLCJoZWlnaHQiOjEwMDAsImZpdCI6ImNvbnRhaW4ifSwic21hcnRDcm9wIjp7InBhZGRpbmciOjUwfX19,Croatia,https://www.psasquashtour.com/player/franka-vidovic/,2004-06-02,"Zagreb, Croatia",,178
Georgia Adderley,https://www.psasquashtour.com/wp-content/uploads/2024/08/39-1024x1024.png,Scotland,https://www.psasquashtour.com/player/georgia-adderley/,2001-01-08,"Edinburgh, Scotland",Titan,167
Georgina Kennedy,https://www.psasquashtour.com/wp-content/uploads/2024/02/georgina-kennedy-copy-1024x1024.png,England,https://www.psasquashtour.com/player/georgina-kennedy/,1997-04-03,"London, England",Head,166
Georgina Kennedy,https://www.psasquashtour.com/wp-content/uploads/2024/02/georgina-kennedy-copy-1024x1024.png,England,https://www.psasquashtour.com/player/georgina-kennedy/,1997-04-03,"London, England",Head,166
Giselle Delgado,https://cdn.filepicker.io/Lwt2xEHDRtarUo5TyW4q,Chile,https://www.psasquashtour.com/player/giselle-delgado/,1988-03-17,"Antofagasta, Chile",Head,160
Goh Zhi Xuan,,,https://www.psasquashtour.com/player/goh-zhi-xuan/,,,,
Grace Gear,https://www.psasquashtour.com/wp-content/uploads/2024/08/37-1-1024x1024.png,England,https://www.psasquashtour.com/player/grace-gear/,1998-07-02,"Welwyn Garden City, England",Ashaway,170
Habiba Hani,https://cdn.filestackcontent.com/LQTpDIg8RWNB1znCfBbI,Egypt,https://www.psasquashtour.com/player/habiba-hani/,2005-04-29,"Alexandria, Egypt",Head,163
Hana Ismail,https://cdn.filepicker.io/5mEbQH7qROSxxPCvIk8D,Egypt,https://www.psasquashtour.com/player/hana-ismail/,2004-12-02,"Dubai, United Arab Emirates",Dunlop,170
Hana Moataz,https://www.psasquashtour.com/wp-content/uploads/2024/08/42-1024x1024.png,Egypt,https://www.psasquashtour.com/player/hana-moataz/,2000-03-21,"Cairo, Egypt",Tecnifibre,175
Hana Ramadan,https://www.psasquashtour.com/wp-content/uploads/2023/11/Eq3tWaCA-1024x1024.png,Egypt,https://www.psasquashtour.com/player/hana-ramadan/,1997-09-30,"Alexandria, Egypt",Tecnifibre,162
Hania El Hammamy,https://www.psasquashtour.com/wp-content/uploads/2024/02/hania-elhammamy-copy-1024x1024.png,Egypt,https://www.psasquashtour.com/player/hania-el-hammamy/,2000-09-01,"Cairo, Egypt",Head,170
Hannah Craig,https://cdn.filestackcontent.com/fDrfKPG4S06J7A3uqZPe,Ireland,https://www.psasquashtour.com/player/hannah-craig/,1999-01-23,"Lisburn, Ireland",Harrow,163
Haya Ali,https://cdn.filestackcontent.com/pod8TWbPSuO9ys9RA8y7,Egypt,https://www.psasquashtour.com/player/haya-ali/,2004-04-26,"Cairo, Egypt",Harrow,172
Hayley Ward,https://cdn.filestackcontent.com/FWoKH9xnTVqfzTbK6kXM,South Africa,https://www.psasquashtour.com/player/hayley-ward/,1997-08-28,"Port Elizabeth, South Africa",Harrow,169
Helen Tang,https://cdn.filepicker.io/j2u7ifKS6i9yEw1gfJXg,,https://www.psasquashtour.com/player/helen-tang/,2008-12-03,,,155
Hollie Naughton ,https://www.psasquashtour.com/wp-content/uploads/2023/11/V7BETGvA-1024x1024.png,Canada,https://www.psasquashtour.com/player/hollie-naughton-/,1994-10-21,"Barnsley, England",Wilson,165
Iman Shaheen,https://cdn.filestackcontent.com/yjErpqxgSeyVOdhMcErn,Canada,https://www.psasquashtour.com/player/iman-shaheen/,2005-03-18,"Ottawa, Canada",Dunlop,167
Isaac Blessing,https://cdn.filepicker.io/3A3tvtt8TiSaswDGq1sy,Nigeria,https://www.psasquashtour.com/player/isaac-blessing/,1998-02-05,"Ilorin, Nigeria",Tecnifibre,150
Isabel McCullough,https://cdn.filestackcontent.com/nFUspBaySTmbUBkjFWpQQ,England,https://www.psasquashtour.com/player/isabel-mccullough/,2004-09-28,"London, England",Head,162
Jacqueline Peychär,https://cdn.filestackcontent.com/HiAmXbLSpem9lGRDbevg,Austria,https://www.psasquashtour.com/player/jacqueline-peychär/,1995-09-09,"Innsbruck, Austria",Head,171
Jana Swaify,https://cdn.filestackcontent.com/qKm7mL6kSEKD8z9eHTeO,Egypt,https://www.psasquashtour.com/player/jana-swaify/,2007-08-14,"Alexandria, Egypt",Tecnifibre,170
Jasmine Hutton,https://www.psasquashtour.com/wp-content/uploads/2023/11/zccCy6Lw-1024x1024.png,England,https://www.psasquashtour.com/player/jasmine-hutton/,1999-04-05,"Brighton, England",Titan,162
Jemyca Aribado,https://cdn.filestackcontent.com/gqFDaPbQ6m6vkCu2eEe3,Philippines,https://www.psasquashtour.com/player/jemyca-aribado/,1993-09-21,"Taguig City, Philippines",Tecnifibre,159
Jessica van der Walt,https://www.psasquashtour.com/wp-content/uploads/2024/08/27-1024x1024.png,Austra,https://www.psasquashtour.com/player/jessica-van-der-walt/,1995-06-23,"Wauchope, Australia",Inform Squash,175
Joelle King,https://www.psasquashtour.com/wp-content/uploads/2023/12/joelle-king-1080-1024x1024.png,New Zealand,https://www.psasquashtour.com/player/joelle-king/,1988-09-30,"Cambridge, New Zealand",Head,176
Joey Chan,https://www.squashinfo.com/img/players/JoeyChan_Jul17a.jpg,Hong Kong,https://www.psasquashtour.com/player/joey-chan/,1988-05-20,Hong Kong,Prince,160
Joshna Chinappa,https://www.psasquashtour.com/wp-content/uploads/2024/11/Player-Images-2024-1-1024x1024.png,India,https://www.psasquashtour.com/player/joshna-chinappa/,1986-09-15,"Chennai, India",Tecnifibre,173
Juliette Permentier,https://cdn.filepicker.io/AC2b04fGRBGCGouPLSXQ,Netherlands,https://www.psasquashtour.com/player/juliette-permentier/,1999-05-30,"Delft, Netherlands",Tecnifibre,166
Ka Yi Lee,https://cdn.filestackcontent.com/gJcB7IVXSOSHAFz0faeg,Hong Kong,https://www.psasquashtour.com/player/ka-yi-lee/,1993-11-25,"Hong Kong, Hong Kong",Dunlop,160
Kaitlyn Watts,https://cdn.filestackcontent.com/crBp2JkARLW8fZEky4v3,New Zealand,https://www.psasquashtour.com/player/kaitlyn-watts/,2001-03-01,"Palmerston North, New Zealand",Karakal,169
Kara Lincou,https://cdn.filepicker.io/zw4Pu8pWQZOzO8z15bxL,France,https://www.psasquashtour.com/player/kara-lincou/,2003-08-10,"Saint-Pierre, France",Tecnifibre,158
Karina Tyma,https://cdn.filepicker.io/23jGngSi6pk6LX0hS9aQ,Poland,https://www.psasquashtour.com/player/karina-tyma/,2000-05-05,"Gorzow Wielkopolski, Poland",Tecnifibre,161
Karolína Šrámková,,,https://www.psasquashtour.com/player/karolína-šrámková/,,,,
Katerina Tycova,https://cdn.filepicker.io/iYpFXp6kSOGMsidjf7pj,Germany,https://www.psasquashtour.com/player/katerina-tycova/,1999-05-16,"Harlaching, Germany",Victor,171
Katie Malliff,https://www.psasquashtour.com/wp-content/uploads/2023/11/katie-maliff-copy-1024x1024.png,England,https://www.psasquashtour.com/player/katie-malliff/,2003-04-19,"Wendover, England",Dunlop,167
Kenzy Ayman,https://cdn.filepicker.io/quAWA6fHR7GQKgxcwVjB,Egypt,https://www.psasquashtour.com/player/kenzy-ayman/,2004-03-18,"Cairo, Egypt",Tecnifibre,160
Kiera Marshall,https://cdn.filestackcontent.com/lERsBrYTQPiQm0XrzDkh,England,https://www.psasquashtour.com/player/kiera-marshall/,2001-07-24,"Birmingham, England",Dunlop,164
Kincso Szász,https://cdn.filestackcontent.com/seVbjwQjRNWIlAe8j56n,Romania,https://www.psasquashtour.com/player/kincso-szász/,1999-11-07,"Odorheiu Secuiesc, Romania",Harrow,172
Laila Sedky,https://cdn.filestackcontent.com/JSMYR3TwSRGeo3uQINmZ,United States,https://www.psasquashtour.com/player/laila-sedky/,2000-02-02,,,172
Laura Massaro,https://www.psasquashtour.com/wp-content/uploads/2023/11/laura-massaro-copy-1024x1024.png,England,https://www.psasquashtour.com/player/laura-massaro/,1983-11-02,"Great Yarmouth, England",Head,173
Laura Silva,https://cdn.filepicker.io/vZfn0h5sQJqjyhw9goAg,Brazil,https://www.psasquashtour.com/player/laura-silva/,2007-12-06,"Campinas, Brazil",,170
Laura Tovar,https://www.squashinfo.com/img/players/LauraTovar_May23a.jpg,Colombia,https://www.psasquashtour.com/player/laura-tovar/,1996-11-10,"Bogota, Colombia",Tecnifibre,170
Lauren Baltayan,https://cdn.filestackcontent.com/5TMlKUwEQGq2kY3CS2yT,France,https://www.psasquashtour.com/player/lauren-baltayan/,2007-05-05,"Cairo, Egypt",Tecnifibre,152
Lea Barbeau,https://cdn.filepicker.io/qUjOz8VPTjm5z4jfXM5E,France,https://www.psasquashtour.com/player/lea-barbeau/,2000-10-20,"La roche sur yon, France",Tecnifibre,172
Lilou Brevard-Belliot,https://cdn.filestackcontent.com/aZGp54CkQL4sMFxt5Hth,France,https://www.psasquashtour.com/player/lilou-brevard-belliot/,2006-03-27,"La Rochelle, France",Dunlop,162
Lisa Aitken,https://cdn.filepicker.io/UoCkUrQfefqdie7kl53w,Scotland,https://www.psasquashtour.com/player/lisa-aitken/,1990-02-16,"Montrose, Scotland",Dunlop,165
