Player,Image,Country,URL,DOB,Birthplace,Racket,Height (cm)
Lojayn Gohary,https://cdn.filestackcontent.com/KoSHU92RBSk6RqwEJW4g,Egypt,https://www.psasquashtour.com/player/lojayn-gohary/,2005-06-08,"Cairo, Egypt",Oliver,168
Lowri Roberts,https://cdn.filepicker.io/RUAnLjoqSGaSayBAf5PR,Wales,https://www.psasquashtour.com/player/lowri-roberts/,1997-10-18,"Bodelwyddan, Wales",Head,165
Lucia Bautista,https://cdn.filestackcontent.com/lhQC3aNYRZSygMkWg2l1,Colombia,https://www.psasquashtour.com/player/lucia-bautista/,2002-12-06,"Bucaramanga, Colombia",Tecnifibre,168
Lucie Stefanoni,https://cdn.filepicker.io/MKMEH9NRR6HnD9p1NX82,United States,https://www.psasquashtour.com/player/lucie-stefanoni/,2004-07-18,"Stamford, United States",Tecnifibre,
Lucy Turmel,https://www.psasquashtour.com/wp-content/uploads/2023/11/FxznzlbQ-1024x1024.png,England,https://www.psasquashtour.com/player/lucy-turmel/,1999-09-24,"Ipswich, England",305 Squash,166
Luiza Carbonieri,https://cdn.filepicker.io/LsugYMrjSiSxSI53BU0d,Brazil,https://www.psasquashtour.com/player/luiza-carbonieri/,1997-09-01,"Sao Bernardo do Campo, Brazil",Wave,160
Madeleine Hylland,https://cdn.filestackcontent.com/gSvy34CkTqiQkleo9jWf,Norway,https://www.psasquashtour.com/player/madeleine-hylland/,2001-06-07,"Baerum, Norway",Head,175
Madison Ho,https://cdn.filepicker.io/ToYyRC9ATwm6QyFr8YUF,United States,https://www.psasquashtour.com/player/madison-ho/,2006-07-17,"Palo Alto, United States",Tecnifibre,168
Madison Lyon,https://cdn.filestackcontent.com/IPt0o5XTSmyNDAzPtM5e,Australia,https://www.psasquashtour.com/player/madison-lyon/,2005-06-08,"Redcliffe, Australia",Karakal,164
Malak Fathy,https://cdn.filepicker.io/cJgjoxtXSISrq0whIyoQ,Egypt,https://www.psasquashtour.com/player/malak-fathy/,2005-04-03,"Cairo, Egypt",,173
Malak Khafagy,https://www.psasquashtour.com/wp-content/uploads/2024/08/41-1024x1024.png,Egypt,https://www.psasquashtour.com/player/malak-khafagy/,2004-07-25,"Alexandria, Egypt",Tecnifibre,178
Malak Samir,https://cdn.filepicker.io/pEx6E8bQ7E3eZbSX7awM,Egypt,https://www.psasquashtour.com/player/malak-samir/,2008-02-14,"Alexandria, Egypt",Tecnifibre,170
Malak Taha,https://cdn.filepicker.io/rx2cl16wQuuMJesrz9pT,Egypt,https://www.psasquashtour.com/player/malak-taha/,2005-03-28,"Cairo, Egypt",,161
Margot Prow,https://cdn.filestackcontent.com/Z8CyZYFQnGTCc2ymuka7,Barbados,https://www.psasquashtour.com/player/margot-prow/,2002-02-03,"Bridgetown, Barbados",Dunlop,169
Mariam Eissa,https://www.squashinfo.com/img/players/MariamEissa_Nov24a.jpg,England,https://www.psasquashtour.com/player/mariam-eissa/,,,Dunlop,168
Mariam Metwally,https://www.psasquashtour.com/wp-content/uploads/2024/03/Mariam-Metwally-copy-1024x1024.png,Egypt,https://www.psasquashtour.com/player/mariam-metwally/,1996-11-11,"Alexandria, Egypt",Harrow,170
Marie Stephan,https://www.psasquashtour.com/wp-content/uploads/2024/08/36-1024x1024.png,France,https://www.psasquashtour.com/player/marie-stephan/,1996-03-14,"Cayenne, French Guiana",Tecnifibre,174
Marina Stefanoni,https://cdn.filestackcontent.com/1AP8P9Y1RCiSwBZZy0rF,United States,https://www.psasquashtour.com/player/marina-stefanoni/,2002-11-30,"Stamford, United States",Head,164
Marta Dominguez,https://cdn.filestackcontent.com/uvevEfI5QEi33fQ1rKcS,,https://www.psasquashtour.com/player/marta-dominguez/,2001-08-02,"Vigo, Spain",Tecnifibre,173
Maya Weishar,https://cdn.filepicker.io/2ZOTsi6DTmBQsHHehghg,Germany,https://www.psasquashtour.com/player/maya-weishar/,2006-09-13,"Schorndorf, Germany",Oliver,170
Melissa Alves,https://www.psasquashtour.com/wp-content/uploads/2023/11/7zlnqrOQ-1024x1024.png,France,https://www.psasquashtour.com/player/melissa-alves/,1993-12-29,"Kourou, French Guiana",Perfly,168
Menna Hamed,https://cdn.filestackcontent.com/QercaWxXTOOfkRgGVNAl,Egypt,https://www.psasquashtour.com/player/menna-hamed/,1998-01-30,"Cairo, Egypt",Tecnifibre,167
Menna Walid,https://www.psasquashtour.com/wp-content/uploads/2024/08/22-1-1024x1024.png,Egypt,https://www.psasquashtour.com/player/menna-walid/,2004-02-24,"Alexandria, Egypt",Head,160
Michaela Čepová,https://cdn.filestackcontent.com/slYi1RHBSoCqA49zl1bh,Czech Republic,https://www.psasquashtour.com/player/michaela-čepová/,2000-10-28,,Tecnifibre,165
Millie Tomlinson,https://cdn.filestackcontent.com/3r7opxbGTei9Cs70Khvk,England,https://www.psasquashtour.com/player/millie-tomlinson/,1992-04-27,"Derby, England",Dunlop,172
Mingyeong Heo,https://cdn.filepicker.io/BXDHD28PTpuLJt1vRzlt,South Korea,https://www.psasquashtour.com/player/mingyeong-heo/,1996-06-19,"Gyeonggi-Do, South Korea",,164
Nada Abbas,https://www.psasquashtour.com/wp-content/uploads/2023/11/wrFd022Q-1024x1024.png,Egypt,https://www.psasquashtour.com/player/nada-abbas/,2000-05-28,"Cairo, Egypt",Prince,156
Nadia Pfister,https://www.psasquashtour.com/wp-content/uploads/2024/08/20-1-1024x1024.png,Switzerland,https://www.psasquashtour.com/player/nadia-pfister/,1995-09-18,"Basel, Switzerland",Dunlop,179
Nadien Elhammamy,https://cdn.filepicker.io/YRsvgsCxRN6UUlwPhNE5,Egypt,https://www.psasquashtour.com/player/nadien-elhammamy/,2007-07-10,"Cairo, Egypt",,172
Nadine Shahin,https://www.psasquashtour.com/wp-content/uploads/2023/11/psCSpoLg-1024x1024.png,Egypt,https://www.psasquashtour.com/player/nadine-shahin/,1997-06-14,"Cairo, Egypt",Harrow,163
Nardine Garas,https://www.psasquashtour.com/wp-content/uploads/2024/08/28-1024x1024.png,Egypt,https://www.psasquashtour.com/player/nardine-garas/,2003-12-19,"Cairo, Egypt",Tecnifibre,172
Nele Gilis,https://www.psasquashtour.com/wp-content/uploads/2024/01/nele-gilis-copy-1024x1024.png,Belgium,https://www.psasquashtour.com/player/nele-gilis/,1996-02-20,"Geel, Belgium",Stellar,168
Nga Ching Cheng,https://cdn.filestackcontent.com/2kO3WrQxR2WypgWGn4jf,Hong Kong,https://www.psasquashtour.com/player/nga-ching-cheng/,2000-01-24,"Hong Kong, Hong Kong",,160
Nicol David,https://www.psasquashtour.com/wp-content/uploads/2023/11/nicol-david-copy-1024x1024.png,Malaysia,https://www.psasquashtour.com/player/nicol-david/,1983-08-26,"Penang, Malaysia",Wilson,162
Nicole Bunyan,https://www.psasquashtour.com/wp-content/uploads/2024/08/32-1024x1024.png,Canada,https://www.psasquashtour.com/player/nicole-bunyan/,1993-11-22,"Victoria, Canada",Harrow,175
Niki Shemirani,https://cdn.filepicker.io/BpipSYWxSrmE8rvHpTDL,Canada,https://www.psasquashtour.com/player/niki-shemirani/,2003-06-20,"Tehran, Iran",Dunlop,168
Nirupama Dubey,https://cdn.filestackcontent.com/mB5Mp8oFRQulfKBXK44f,India,https://www.psasquashtour.com/player/nirupama-dubey/,2005-11-25,"Baroda, India",,165
Noa Romero,https://cdn.filepicker.io/ev4T2tTPKC6yJVLKO0QI,Spain,https://www.psasquashtour.com/player/noa-romero/,2004-01-04,"Barcelona, Spain",,163
Nour Aboulmakarim,https://www.psasquashtour.com/wp-content/uploads/2024/08/40-1024x1024.png,Egypt,https://www.psasquashtour.com/player/nour-aboulmakarim/,2003-02-18,"Cairo, Egypt",Tecnifibre,165
Nour El Sherbini,https://www.psasquashtour.com/wp-content/uploads/2024/02/nour-el-sherbini-copy-1024x1024.png,Egypt,https://www.psasquashtour.com/player/nour-el-sherbini/,1995-11-01,"Alexandria, Egypt",Tecnifibre,175
Nour El Tayeb,https://www.psasquashtour.com/wp-content/uploads/2024/02/nour-el-tayeb-copy-1024x1024.png,Egypt,https://www.psasquashtour.com/player/nour-el-tayeb/,1993-03-08,"Cairo, Egypt",Dunlop,164
Nour Heikal,https://cdn.filestackcontent.com/X2uS4g1NSbupbBzQPyKz,Egypt,https://www.psasquashtour.com/player/nour-heikal/,2003-09-29,"Alexandria, Egypt",Tecnifibre,169
Nour Khafagy,https://cdn.filepicker.io/IFGQ5d3SWGByvli0ljZS,Egypt,https://www.psasquashtour.com/player/nour-khafagy/,2006-06-26,"Alexandria, Egypt",,166
Nour Megahed,https://cdn.filepicker.io/1dwKaP8MQTKvIM4ScE9B,Egypt,https://www.psasquashtour.com/player/nour-megahed/,2005-07-24,"Tanta, Egypt",Tecnifibre,165
Nour Ramy,https://cdn.filepicker.io/Nvf8WDLSZKqCR4ifcTRF,Egypt,https://www.psasquashtour.com/player/nour-ramy/,2002-11-12,"Cairo, Egypt",Tecnifibre,172
Nouran Gohar ,https://www.psasquashtour.com/wp-content/uploads/2024/02/nouran-gohar-copy-1-1024x1024.png,Egypt,https://www.psasquashtour.com/player/nouran-gohar-/,1997-09-30,"Cairo, Egypt",Tecnifibre,167
Olivia Besant,https://cdn.filepicker.io/IfjBSONSu2bjbc27QAaz,England,https://www.psasquashtour.com/player/olivia-besant/,2004-07-28,"Winchester, England",Oliver,175
Olivia Clyne,https://www.psasquashtour.com/wp-content/uploads/2023/11/BQG9UAeQ-1024x1024.png,United States,https://www.psasquashtour.com/player/olivia-clyne/,1993-01-23,"New York City, United States",,152
Olivia Weaver,https://www.psasquashtour.com/wp-content/uploads/2023/11/7PQqHEFg-1024x1024.png,United States,https://www.psasquashtour.com/player/olivia-weaver/,1995-09-15,"Philadelphia, United States",Head,171
Omneya Abdel Kawy,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQVSB9dq71JFh539o2QCPdewArlKqiHgXd9fgK7H5Rd8v5srYJoUWkDv2B7kYFWqnkhMAGIR80NSDHAQIAduPQ0zQ,Egypt,https://www.psasquashtour.com/player/omneya-abdel-kawy/,1985-08-15,"Giza, Egypt",Harrow,166
Ona Blasco,https://cdn.filepicker.io/tdfoiLcvRo6ddZBFidpx,Spain,https://www.psasquashtour.com/player/ona-blasco/,,"Lloret de Mar, Spain",Tecnifibre,167
Pascale Louka,https://cdn.filepicker.io/wY2eOZlQLmhEim5leIBt,Australia,https://www.psasquashtour.com/player/pascale-louka/,2001-08-09,"Alexandria, Egypt",Dunlop,167
Polly Clark,https://cdn.filepicker.io/sdF6KoZdSRyAbB5GydgS,England,https://www.psasquashtour.com/player/polly-clark/,2001-04-06,"Pontefract, England",Head,155
Rachael Grinham,https://cdn.filepicker.io/7NuJONNDQyCANRpDsFks,Australia,https://www.psasquashtour.com/player/rachael-grinham/,1977-01-22,"Toowoomba, Australia",,157
Rachel Arnold,https://www.psasquashtour.com/wp-content/uploads/2023/11/rachel-arnold-copy-1024x1024.png,Malaysia,https://www.psasquashtour.com/player/rachel-arnold/,1996-04-16,"Kuala Lumpur, Malaysia",Head,166
Rafaela Albuja,https://cdn.filestackcontent.com/asstoG1QaTdsmLFVsF7g,Ecuador,https://www.psasquashtour.com/player/rafaela-albuja/,2000-06-09,,Dunlop,161
Rana Ismail,https://cdn.filestackcontent.com/KY5CAQWWQ3OrEK0rvTII,United Arab Emirates,https://www.psasquashtour.com/player/rana-ismail/,2002-07-20,"Dubai, United Arab Emirates",Dunlop,176
Raneem El Welily,https://www.squashinfo.com/img/players/RaneemElWelily_Oct18a.jpg,Egypt,https://www.psasquashtour.com/player/raneem-el-welily/,1989-01-01,"Alexandria, Egypt",Harrow,161
Remashree Muniandy,https://cdn.filepicker.io/xG6AUFwtToWbdpOSvxy8,Malaysia,https://www.psasquashtour.com/player/remashree-muniandy/,2002-01-20,"Seremban, Malaysia",Karakal,166
Renske Huntelaar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQo9IwoigqvJaSc4BKTzVVD6z8tUbL04Lo3WQ&s,Netherlands,https://www.psasquashtour.com/player/renske-huntelaar/,,,Dunlop,170
Risa Sugimoto,https://cdn.filepicker.io/mzXrvuQURXSGiLO7FOtQ,Japan,https://www.psasquashtour.com/player/risa-sugimoto/,1994-08-01,"Shiga, Japan",Prince,161
Riya Navani,https://cdn.filestackcontent.com/4X9xhgmQE3RqweHjHuPQ,United States,https://www.psasquashtour.com/player/riya-navani/,2006-03-08,"Milpitas, United States",Harrow,164
Robyn McAlpine,https://cdn.filestackcontent.com/5v3UR9VGThCep1XfSX21,Scotland,https://www.psasquashtour.com/player/robyn-mcalpine/,2006-09-01,"Glasgow, Scotland",Tecnifibre,168
Rofiat Abdulazeez,https://www.squashinfo.com/img/players/RofiatAbdulazeez_Oct24a.jpg,Nigeria,https://www.psasquashtour.com/player/rofiat-abdulazeez/,,"Ilorin, Nigeria",Tecnifibre,157
Rowan Elaraby,https://www.psasquashtour.com/wp-content/uploads/2024/03/rowan-elaraby-copy-1024x1024.png,Egypt,https://www.psasquashtour.com/player/rowan-elaraby/,2000-07-29,"Alexandria, Egypt",Dunlop,164
Ruqayya Salem,https://cdn.filepicker.io/IYdQp6B3Qm6dZcvCtppC,Egypt,https://www.psasquashtour.com/player/ruqayya-salem/,2008-06-12,"Cairo, Egypt",Harrow,166
Sabrina Sobhy,https://www.psasquashtour.com/wp-content/uploads/2023/12/sabrina-sobhy-copy-1024x1024.png,United States,https://www.psasquashtour.com/player/sabrina-sobhy/,1996-12-30,"New York, United States",Dunlop,165
Salma El Alfy,https://cdn.filestackcontent.com/eMqd2BLSAcLdBpjg4AhM,Egypt,https://www.psasquashtour.com/player/salma-el-alfy/,2004-06-20,"Giza, Egypt",Tecnifibre,174
Salma Eltayeb,https://www.psasquashtour.com/wp-content/uploads/2024/08/38-1-1024x1024.png,Egypt,https://www.psasquashtour.com/player/salma-eltayeb/,2004-03-24,"Cairo, Egypt",Tecnifibre,163
Salma Hany,https://www.psasquashtour.com/wp-content/uploads/2024/02/salma-hany-copy-1024x1024.png,Egypt,https://www.psasquashtour.com/player/salma-hany/,1996-08-05,"Alexandria, Egypt",Harrow,162
Sana Ibrahim,https://www.psasquashtour.com/wp-content/uploads/2023/12/sana-ibrahim-copy-1024x1024.png,Egypt,https://www.psasquashtour.com/player/sana-ibrahim/,2003-01-15,"Cairo, Egypt",Harrow,171
Sarah Cardwell,https://www.psasquashtour.com/wp-content/uploads/2024/08/19-1-1024x1024.png,Australia,https://www.psasquashtour.com/player/sarah-cardwell/,1991-10-10,"Melbourne, Australia",Karakal,157
Sarah-Jane Perry,https://www.psasquashtour.com/wp-content/uploads/2023/12/sarah-jane-perry-copy-1024x1024.png,England,https://www.psasquashtour.com/player/sarah-jane-perry/,1990-05-15,"Birmingham, England",Dunlop,183
Sarahi Lopez,https://bantamsports.com/images/2020/6/22/sarahi_lopez_wsquash_2019_20.jpg,Mexico,https://www.psasquashtour.com/player/sarahi-lopez/,,"Guadalajara, Mexico",,163
Saran Nghiem,https://www.psasquashtour.com/wp-content/uploads/2024/08/26-1024x1024.png,England,https://www.psasquashtour.com/player/saran-nghiem/,2003-12-25,"Manchester, England",Dunlop,173
Saskia Beinhard,https://www.psasquashtour.com/wp-content/uploads/2024/08/25-1024x1024.png,Germany,https://www.psasquashtour.com/player/saskia-beinhard/,1999-03-02,"Munich, Germany",Dunlop,172
Satomi Watanabe,https://www.psasquashtour.com/wp-content/uploads/2024/03/satomi-watanabi-copy-300x300-1.png,Japan,https://www.psasquashtour.com/player/satomi-watanabe/,1999-01-15,"Yokohama, Japan",Tecnifibre,170
Sehveetrraa Kumar,https://cdn.filestackcontent.com/vqy3s0QTHOSg10w8mjEW,Malaysia,https://www.psasquashtour.com/player/sehveetrraa-kumar/,2005-06-03,"Alor Setar Kedah, Malaysia",Dunlop,167
Shameena Riaz,https://cdn.filepicker.io/Cwbkq7dnQxWNphjXlWIW,India,https://www.psasquashtour.com/player/shameena-riaz/,2005-08-11,"Chennai, India",,153
Sin Yuk Chan,https://www.psasquashtour.com/wp-content/uploads/2024/08/33-1024x1024.png,Hong Kong,https://www.psasquashtour.com/player/sin-yuk-chan/,2002-07-04,"Hong Kong, Hong Kong",Tecnifibre,162
Sivasangari Subramaniam,https://www.psasquashtour.com/wp-content/uploads/2024/03/Sivasangari-Subramaniam-copy-1024x1024.png,Malaysia,https://www.psasquashtour.com/player/sivasangari-subramaniam/,1999-01-24,"Sungai Petani, Kedah, Malaysia",Dunlop,160
Sofia Aveiro Pita,https://cdn.filepicker.io/nPcTVfzHQoWO7WhGLeAI,Portugal,https://www.psasquashtour.com/player/sofia-aveiro-pita/,2002-01-12,"Funchal, Portugal",Tecnifibre,160
Sofía Mateos,https://cdn.filestackcontent.com/cIl2JfzPQZ2THOqNtwiT,Spain,https://www.psasquashtour.com/player/sofía-mateos/,2001-06-28,"Barcelona, Spain",Tecnifibre,167
Sophie Fadaely,https://cdn.filepicker.io/htRoEpCSVKwcVnr7C8qS,Australia,https://www.psasquashtour.com/player/sophie-fadaely/,2004-01-02,"Perth, Australia",Dunlop,168
Tabita Gaitan,https://live.staticflickr.com/65535/53566087896_b1250c019c.jpg,Guatamala,https://www.psasquashtour.com/player/tabita-gaitan/,,"Guatemala City, Guatemala",,163
Tamara Holzbauerová,https://cdn.filestackcontent.com/cKFbH0fVQbGkWHzIk09h,Czech Republic,https://www.psasquashtour.com/player/tamara-holzbauerová/,2003-10-10,"Praha, Czech Republic",,170
Tanvi Khanna,https://cdn.filepicker.io/ZdVEEzjWRV2HN1hB2BSZ,India,https://www.psasquashtour.com/player/tanvi-khanna/,1996-07-23,"New Delhi, India",,167
Teagan Russell,https://cdn.filepicker.io/95k32VdTTsm7AIbQrGfU,South Africa,https://www.psasquashtour.com/player/teagan-russell/,2000-12-06,"Queenstown, South Africa",Tecnifibre,169
Tesni Murphy,https://www.psasquashtour.com/wp-content/uploads/2023/11/GxVrkAWg-1024x1024.png,Wales,https://www.psasquashtour.com/player/tesni-murphy/,1992-10-15,"Cardiff, Wales",Karakal,160
Tessa ter Sluis,https://cdn.filestackcontent.com/fugfIaQZGRUC8FpEZIXg,Netherlands,https://www.psasquashtour.com/player/tessa-ter-sluis/,1995-01-16,"Sint Willebrord, Netherlands",,172
Tinne Gilis,https://www.psasquashtour.com/wp-content/uploads/2023/11/D56qHiE--1024x1024.png,Belgium,https://www.psasquashtour.com/player/tinne-gilis/,1997-10-29,"Mol, Belgium",Dunlop,169
Toby Tse,https://cdn.filestackcontent.com/HVKYgZ4CR8KtAqtUiHDu,Hong Kong,https://www.psasquashtour.com/player/toby-tse/,2004-10-18,"Hong Kong, Hong Kong",,173
Tomato Ho,https://www.psasquashtour.com/wp-content/uploads/2023/11/OkwLE78g-1024x1024.png,Hong Kong,https://www.psasquashtour.com/player/tomato-ho/,1995-10-26,"Hong Kong, Hong Kong",,165
Torrie Malik,https://www.psasquashtour.com/wp-content/uploads/2024/08/30-1024x1024.png,England,https://www.psasquashtour.com/player/torrie-malik/,2004-04-03,"Redhill, England",Mantis,177
Tsz-Wing Tong,https://www.psasquashtour.com/wp-content/uploads/2024/08/34-1024x1024.png,Hong Kong,https://www.psasquashtour.com/player/tsz-wing-tong/,1992-07-26,"Hong Kong, Hong Kong",Head,165
Urwashi Joshi,https://cdn.filestackcontent.com/6QlAxVOMRRyPad3JpS0Y,India,https://www.psasquashtour.com/player/urwashi-joshi/,1995-08-19,"Mumbai, India",Head,154
Victoria Lust,https://www.squashinfo.com/img/players/VictoriaLust_Feb19a.jpg,England,https://www.psasquashtour.com/player/victoria-lust/,1989-05-02,"Luton, England",Tecnifibre ,167
Wai Yhann Au Yeong,https://cdn.filestackcontent.com/mhThlDP7RkK8EPfgV4fK,Singapore,https://www.psasquashtour.com/player/wai-yhann-au-yeong/,1999-01-18,"Singapore, Singapore",,153
Winifer Bonilla,https://cdn.filepicker.io/kC67DxOTIym7lS2eSvme,Guatemala,https://www.psasquashtour.com/player/winifer-bonilla/,1995-03-02,"Guatemala City, Guatemala",Dunlop,157
Wong Po Yui Kirstie,https://www.squashinfo.com/img/players/WongPoYuiKirstie_Mar25a.jpg,Hong Kong,https://www.psasquashtour.com/player/wong-po-yui-kirstie/,,"Hong Kong, Hong Kong",,158
Xin Ying Yee,https://cdn.filepicker.io/eS3WnvU0TWSDeeYoGOP4,Malaysia,https://www.psasquashtour.com/player/xin-ying-yee/,2003-11-12,"Sandakan, Malaysia",,163
Yasshmita Jadish Kumar,https://www.psasquashtour.com/wp-content/uploads/2024/08/21-1-1024x1024.png,Malaysia,https://www.psasquashtour.com/player/yasshmita-jadish-kumar/,2004-07-28,"Johor, Malaysia",Dunlop,167
Yathreb Adel,https://www.psasquashtour.com/wp-content/uploads/2023/11/8E_5aI8w-1024x1024.png,Egypt,https://www.psasquashtour.com/player/yathreb-adel/,1996-03-06,"Cairo, Egypt",Head,173
Yeheni Kuruppu,https://cdn.filepicker.io/7hfOfq5MRBaht7PxmOZi,Sri Lanka,https://www.psasquashtour.com/player/yeheni-kuruppu/,2003-10-16,"Colombo, Sri Lanka",,170
Yiwen Chan,https://cdn.filestackcontent.com/mU8DhlZSdmeeWJS1K10d,Malaysia,https://www.psasquashtour.com/player/yiwen-chan/,2000-09-25,"Alor Setar, Malaysia",,165
Yu Jie Chen,https://cdn.filepicker.io/Ti0Wph8LTByKIrbg61zQ,Malaysia,https://www.psasquashtour.com/player/yu-jie-chen/,2005-05-24,"Seremban, Malaysia",,170
Zaina Zaidi,,United States,https://www.psasquashtour.com/player/zaina-zaidi/,,,,
Zeina Mickawy,https://www.psasquashtour.com/wp-content/uploads/2024/04/Zeina-Mickawy-copy-1024x1024.png,Egypt,https://www.psasquashtour.com/player/zeina-mickawy/,1998-10-17,"Alexandria, Egypt",Head,167
Zeina Zein,https://cdn.filepicker.io/Sp2dstUESOKwfgFJaiOc,Egypt,https://www.psasquashtour.com/player/zeina-zein/,2004-12-02,"Alexandria, Egypt",Head,160